Financial Institution Name,2001Q1,2001Q2,2001Q3,2001Q4,2002Q1,2002Q2,2002Q3,2002Q4,2003Q1,2003Q2,2003Q3,2003Q4,2004Q1,2004Q2,2004Q3,2004Q4,2005Q1,2005Q2,2005Q3,2005Q4,2006Q1,2006Q2,2006Q3,2006Q4,2007Q1,2007Q2,2007Q3,2007Q4,2008Q1,2008Q2,2008Q3,2008Q4,2009Q1,2009Q2,2009Q3,2009Q4,2010Q1,2010Q2,2010Q3,2010Q4,2011Q1,2011Q2,2011Q3,2011Q4,2012Q1,2012Q2,2012Q3,2012Q4,2013Q1,2013Q2,2013Q3,2013Q4,2014Q1,2014Q2,2014Q3,2014Q4,2015Q1,2015Q2,2015Q3,2015Q4,2016Q1,2016Q2,2016Q3,2016Q4,2017Q1,2017Q2,2017Q3,2017Q4,2018Q1,2018Q2,2018Q3,2018Q4,2019Q1
STANDARD FEDERAL BANK NATIONAL ASSOCIATION,0.0,0.0,0.0,11.077,10.697,10.234,9.732,8.695,7.938,7.535,7.07,6.663,6.455,6.034,5.67,4.97,4.506,3.704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
STATE STREET BANK AND TRUST COMPANY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.22,89.744,0.05,3.768,14.711,32.174,4.23,3.146,0.237,4.731,233.604,5.471,58.495,60.596,202.039,477.199,962.35,979.504,1193.896,1205.773,1352.653,1660.604,1927.998,1970.19,2119.106,2040.83,1807.693,975.85,926.186,977.0
STERLING BANK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.503,4.508,5.037,5.129,5.424,4.968,4.859,4.551,0.075,0.075,0.075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SUNTRUST BANK,1112.58,1096.091,1160.797,1198.992,1226.885,1258.677,1316.741,1425.54,1497.262,1698.262,1844.658,1881.828,1972.244,2004.084,2037.144,2214.667,2250.431,2250.852,2193.137,2200.089,2222.376,2245.585,2326.416,2410.133,2410.769,2343.506,2309.879,2194.484,2285.549,2258.988,2337.454,2343.194,2424.391,2633.673,2796.378,3112.078,3083.945,2906.345,2821.949,2745.165,2644.112,2781.361,3065.575,3178.226,3057.984,3090.13,3036.568,3098.429,3106.105,3316.328,3730.059,4073.992,3986.461,4034.287,4238.29,4162.557,4288.9,4245.35,4291.077,4132.215,3963.776,3822.2,3728.8,3562.761,3611.744,3569.159,3545.044,3456.696,3473.553,3450.372,3438.806,3669.387,3586.121
SYNOVUS BANK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,182.209,110.583,136.463,138.859,142.863,139.233,138.775,138.595,136.473,154.631,155.303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TCF NATIONAL BANK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.297,29.05,29.467,29.088,50.966,50.297,77.549,77.401,83.111,85.41,99.889,103.751,104.076,105.177,102.831,125.756,131.701,149.315,149.086,139.767,153.878,157.529,145.002,146.027,145.897,146.738,144.819,144.55,160.428,195.348,194.139,216.73,216.076,235.621,255.125,279.404,245.326,359.096,362.284,354.836,356.173,357.116
"TD BANK, N.A.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1020.8,1042.202,1173.73,1201.103,1259.075,1514.115,1669.158,1549.25,2024.179,2152.975,2567.644,2745.605,2794.148,3091.902,3377.163,3562.63,4116.801,4719.589,5096.246,5295.991,5929.844,6251.379,7137.932,7314.434,8045.169,8797.963,9413.664,9651.333,10506.366,10862.963,11617.602,11791.016,12442.865,12219.204,12827.134,0.0,0.0,0.0,0.0,14929.816,14488.088,14421.547,14469.528,14458.168
"TD BANKNORTH, NATIONAL ASSOCIATION",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,369.62,416.971,401.668,415.092,402.576,394.19,411.357,411.976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TRUSTMARK NATIONAL BANK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,206.354,211.373,230.23,204.922,210.416,227.821,234.089,229.098,235.745,269.389,267.468,242.453,259.085,324.146,314.188,317.739,305.401,338.613,345.845,353.557,361.528,378.839,376.903,397.635,397.898,441.933,440.814,453.705,468.752,500.821,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U.S. BANK NATIONAL ASSOCIATION,964.898,973.536,1436.737,1302.937,1287.519,1412.77,1628.693,1427.32,1508.744,1601.33,1861.502,1672.717,1764.264,1801.015,2017.599,1933.266,1954.285,2105.8,2455.847,2263.708,2295.538,2413.124,2737.147,2717.943,2717.396,3015.54,3150.503,3070.438,3116.176,3280.594,3612.389,3736.258,3714.052,3627.886,3909.708,3813.505,3892.354,4070.73,4597.441,4965.445,5308.361,5771.995,6170.265,6741.966,7114.504,7781.34,8415.828,9126.367,8940.598,9437.013,9955.621,10077.271,10502.487,10752.591,10838.398,10343.428,10526.489,10525.217,10921.121,11124.448,11534.466,11543.768,11654.657,11915.645,12306.237,12156.15,12173.489,12383.267,12136.023,11857.838,11475.295,10854.49,10580.191
U.S. CENTURY BANK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.234,2.189,2.143,2.097,2.049,2.002,1.954,1.906,1.856,1.807,1.757,1.707,1.655,1.604,1.552,1.499,1.445,1.392,1.337,1.282,1.226,1.17,1.113,1.055,0.997,0.938,0.879,0.819,0.758,0.697,0.635,0.572,0.508,0.444,0.379,0.314,0.248,0.181,0.113,0.045,0.0
UNION BANK AND TRUST COMPANY OF INDIANA,1.602,1.624,1.555,1.524,1.424,1.418,1.418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"UNION BANK OF CALIFORNIA, NATIONAL ASSOCIATION",22.561,26.619,25.686,23.712,25.443,17.725,18.544,12.99,9.82,18.382,35.889,36.286,35.21,35.038,40.11,87.155,43.595,46.16,51.58,54.184,49.033,42.86,17.192,17.629,32.887,13.853,74.308,106.42,153.517,174.419,237.603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"UNION BANK, NATIONAL ASSOCIATION",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,226.138,349.856,371.199,357.127,343.897,342.192,331.57,333.85,375.962,363.704,374.901,642.401,644.195,441.148,262.901,232.84,266.177,297.286,239.462,218.601,208.092,204.937,223.236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"UNION PLANTERS BANK, NATIONAL ASSOCIATION",174.733,160.781,159.857,148.704,147.1,154.837,151.641,142.216,156.227,172.05,179.712,179.547,208.618,227.794,232.425,209.685,240.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UNITED CALIFORNIA BANK,0.0,0.0,23.389,20.264,21.184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UNITED COMMUNITY BANK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.328,27.038,26.102
VALLEY NATIONAL BANK,13.316,10.127,9.895,9.217,8.904,8.627,8.427,8.206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"VECTRA BANK COLORADO, NATIONAL ASSOCIATION",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.789,31.214,48.464,48.409,79.463,79.308,78.461,42.817,41.773,41.348,50.209,52.716,61.957,67.005,66.267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"WACHOVIA BANK, NATIONAL ASSOCIATION",360.929,358.983,376.199,362.202,355.908,2001.0,1979.0,1878.0,1909.0,1925.0,1966.0,2169.0,2061.0,1991.0,1997.0,1951.0,1905.0,1886.0,2105.0,2198.0,2166.0,1975.0,1952.0,1979.0,2001.0,2012.0,2057.0,2012.0,2251.0,2286.0,2599.0,2645.0,2706.0,2990.0,3103.0,2948.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WASHINGTON MUTUAL BANK,0.0,0.0,0.0,0.0,14.0,13.0,13.0,12.0,12.0,10.0,0.0,16.0,21.0,21.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"WEBSTER BANK, NATIONAL ASSOCIATION",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.479,2.419,2.421,2.345,2.572,2.48,2.428,2.636,2.52,2.429,2.338,2.227,1.906,2.848,1.595,1.513,1.391,1.308,1.214,1.137,1.081,41.311,65.563,83.338,90.516,69.818,118.977,124.131,122.306,83.797,76.284,67.263,71.519,94.923,101.475,103.202,121.924,153.443,176.333,148.434,156.355,215.764,240.63,283.038,266.517,210.639,215.584,184.591
"WELLS FARGO BANK ARIZONA, NATIONAL ASSOCIATION",13.749,16.671,19.191,15.718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"WELLS FARGO BANK MINNESOTA, NATIONAL ASSOCIATION",22.393,25.015,23.732,22.218,25.453,27.345,28.989,28.443,28.993,32.061,30.948,27.365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"WELLS FARGO BANK NEVADA, NATIONAL ASSOCIATION",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.925,3.239,2.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"WELLS FARGO BANK NEW MEXICO, NATIONAL ASSOCIATION",5.18,4.471,4.765,3.279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"WELLS FARGO BANK NORTHWEST, NATIONAL ASSOCIATION",0.0,5.098,1.422,1.299,1.501,1.713,2.345,7.018,6.501,7.431,9.013,6.459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"WELLS FARGO BANK TEXAS, NATIONAL ASSOCIATION",36.649,34.715,34.251,32.353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"WELLS FARGO BANK WEST, NATIONAL ASSOCIATION",31.21,29.837,21.589,19.759,24.39,22.704,22.757,21.554,20.841,20.297,22.309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"WELLS FARGO BANK, NATIONAL ASSOCIATION",131.0,122.0,147.0,134.0,134.0,127.0,170.0,167.0,241.0,192.0,132.0,227.0,330.0,361.0,483.0,576.0,563.0,552.0,623.0,689.0,696.0,729.0,766.0,817.0,820.0,825.0,867.0,1008.0,1129.0,1169.0,1117.0,1295.0,1251.0,1353.0,1344.0,1369.0,2794.0,3437.0,3506.0,4023.0,4694.0,5309.0,6472.0,3393.0,2901.0,2957.0,4203.0,6187.0,6684.0,6775.0,7831.0,8999.0,9910.0,11691.0,12545.0,13988.0,14404.0,15373.0,16046.0,16669.0,17232.0,16913.0,17472.0,18053.0,17622.0,18194.0,18393.0,19172.0,19090.0,18903.0,19242.0,18579.0,18775.0
WHITNEY BANK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,176.912,172.726,168.39,163.039,184.934,188.296,203.578,182.516,206.91,214.436,217.637,0.0,648.479,705.163,783.372,791.582,868.056,1009.939,1221.007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WHITNEY NATIONAL BANK,46.471,53.428,49.707,46.138,46.418,48.771,40.322,37.159,31.668,23.837,22.083,20.555,18.767,16.587,16.838,15.514,16.733,23.794,31.199,36.05,38.323,38.301,38.746,35.087,37.368,34.734,34.659,6.039,10.495,15.04,16.066,13.18,13.683,17.22,18.999,11.585,16.919,18.148,17.595,15.46,12.675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WILMINGTON TRUST COMPANY,120.768,129.981,110.097,101.47,99.429,95.114,69.145,65.311,62.653,52.787,48.185,46.301,40.717,42.413,42.256,37.545,38.628,36.243,35.103,32.217,31.199,29.918,29.284,27.794,26.731,25.296,24.385,23.654,22.837,22.582,23.332,23.798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"ZB, NATIONAL ASSOCIATION",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,693.747,754.58,761.304,778.336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZIONS FIRST NATIONAL BANK,144.773,189.157,177.844,191.063,176.382,170.096,186.677,205.867,196.225,201.334,204.865,202.841,191.2,165.484,160.274,155.416,158.189,155.605,152.963,153.154,132.891,122.869,128.448,127.646,124.449,119.31,117.134,110.829,109.379,101.299,102.745,106.48,110.979,112.145,134.359,145.459,171.523,176.557,186.275,259.009,248.6,252.299,246.186,226.942,208.18,202.225,197.515,185.051,181.919,161.454,159.15,157.507,152.847,150.327,150.752,151.624,0.0,0.0,0.0,674.181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
